㐆	U+3406	6	
㐬	U+342C	7	リュウ・ル・コウ・トツ
㐮	U+342E	13	ジョウ・ショウ・ソウ
㑨	U+3468	10	また
㑪	U+346A	10	サイ・ザイ・セイ
㒒	U+3492	15	ボク・しもべ
㒼	U+34BC	11	バン・マン・ベン・メン
㓁	U+34C1	4	ボウ・モウ・あみがしら・あみ
㓇	U+34C7	6	ヨク
㔟	U+351F	10	セイ・いきおい
㕝	U+355D	7	シ
㕞	U+355E	8	セツ・セチ
㕣	U+3563	5	エン
㕮	U+356E	7	フ・かむ
㖦	U+35A6	11	トウ・ツ
㖨	U+35A8	11	ロク
㗅	U+35C5	12	コ・ゴ
㗚	U+35DA	13	リツ・リチ
㗴	U+35F4	15	ガン・ゲン
㘅	U+3605	17	カン
㙊	U+364A	11	チョウ・ジョウ
㚑	U+3691	6	レイ・リョウ・みたま・たま・くし
㚖	U+3696	8	コウ・タク・セキ・シャク・ジャク
㚙	U+3699	8	カ
㛏	U+36CF	10	キュウ・グ
㝡	U+3761	11	サイ
㝢	U+3762	12	ウ・のき
㝫	U+376B	15	リュウ
㝬	U+376C	14	コ
㝵	U+3775	8	ガイ・トク
㟁	U+37C1	8	ガン・きし
㟨	U+37E8	12	タン
㟴	U+37F4	13	カイ・ケ・イ
㟽	U+37FD	14	ヒョウ
㠀	U+3800	14	トウ・しま
㠯	U+382F	5	イ
㠶	U+3836	6	ハン・ボン・ほ
㡀	U+3840	8	ヘイ・ベイ・ヘツ・ヘチ
㡜	U+385C	14	セツ・セイ・セチ
㡡	U+3861	15	チュウ・チュ・ジュ・とばり・かや
㣺	U+38FA	4	シン・こころ
㤗	U+3917	9	タイ・やす
㤚	U+391A	9	コウ・ゴウ・よろこぶ
㥯	U+396F	14	イン・オン
㩮	U+3A6E	20	ケン・コン
㩳	U+3A73	21	ショウ・シュ・ソウ・とる
㫖	U+3AD6	7	シ・むね
㫗	U+3AD7	7	コウ
㫪	U+3AEA	10	ショウ
㬎	U+3B0E	14	キン・ゴン・ゴウ・ケン・あらわれる
㬚	U+3B1A	16	テツ・テチ
㬜	U+3B1C	16	シン・すすむ
㭭	U+3B6D	11	ハツ・ハチ・ハイ・ヘ
㭷	U+3B77	11	おうこ
㮇	U+3B87	12	テン
㮈	U+3B88	12	ナ
㮍	U+3B8D	13	サン・セン
㮤	U+3BA4	14	ショウ
㯍	U+3BCD	15	ショウ
㯰	U+3BF0	17	チ
㰦	U+3C26	9	キョ・コ・カ・あくび
㳃	U+3CC3	7	サイ
㳒	U+3CD2	8	ホウ・のり
㴑	U+3D11	12	ソ・さかのぼる
㴞	U+3D1E	12	トウ・ドウ・はびこる
㵤	U+3D64	16	ソウ
㶚	U+3D9A	22	ハ
㷀	U+3DC0	11	ケイ
㷔	U+3DD4	13	エン
㸅	U+3E05	19	ショク・セツ・セチ・ソキ・シツ・シチ
㹠	U+3E60	7	トン・ドン
㹦	U+3E66	8	チョウ
㹨	U+3E68	8	ユウ
㺃	U+3E83	11	コウ
㺔	U+3E94	15	キ・カイ
㽗	U+3F57	7	セ・うね
㽵	U+3F75	8	ソウ・ショウ
㽷	U+3F77	9	スイ
㾮	U+3FAE	14	コウ・オウ
㿉	U+3FC9	17	タイ・デ
㿗	U+3FD7	21	タイ・デ
䀹	U+4039	12	ショウ・コウ・ソウ・ゴウ
䁘	U+4058	15	ヨウ
䂓	U+4093	12	キ
䄅	U+4105	11	ケン・まつり
䅈	U+4148	11	イン
